Year,Team,OPS,OPSrank,ERA,ERArank
1905,NY1,0.709,1,2.39,4
1906,CHA,0.581,15,2.13,3
1907,CHN,0.622,5,1.73,1
1908,CHN,0.627,4,2.14,4
1909,PIT,0.676,1,2.07,4
1910,PHA,0.675,4,1.79,1
1911,PHA,0.747,1,3.01,6
1912,BOS,0.73,4,2.76,3
1913,PHA,0.724,1,3.19,11
1914,BSN,0.652,13,2.74,8
1915,BOS,0.67,5,2.39,3
1916,BOS,0.63,10,2.48,5
1917,CHA,0.649,4,2.16,1
1918,BOS,0.645,6,2.31,3
1919,CIN,0.665,8,2.23,2
1920,CLE,0.789,1,3.41,7
1921,NY1,0.777,6,3.55,3
1922,NY1,0.785,3,3.45,3
1923,NYA,0.776,2,3.62,2
1924,WS1,0.743,7,3.34,3
1925,PIT,0.815,1,3.87,3
1926,SLN,0.76,4,3.67,5
1927,NYA,0.87,1,3.2,1
1928,NYA,0.813,1,3.74,6
1929,PHA,0.813,3,3.44,1
1930,PHA,0.817,6,4.28,3
1931,SLN,0.75,6,3.45,2
1932,NYA,0.827,1,3.98,7
1933,NY1,0.671,14,2.71,1
1934,SLN,0.76,5,3.69,2
1935,DET,0.798,1,3.82,6
1936,NYA,0.861,1,4.17,6
1937,NYA,0.822,1,3.65,4
1938,NYA,0.808,2,3.91,7
1939,NYA,0.821,1,3.31,2
1940,CIN,0.701,13,3.05,1
1941,NYA,0.762,2,3.53,6
1942,SLN,0.715,4,2.55,1
1943,NYA,0.71,2,2.93,2
1944,SLN,0.742,1,2.67,1
1945,DET,0.683,8,2.99,3
1946,SLN,0.712,3,3.01,1
1947,NYA,0.753,2,3.39,1
1948,CLE,0.789,1,3.22,1
1949,NYA,0.758,3,3.69,3
1950,NYA,0.804,2,4.15,7
1951,NYA,0.753,3,3.56,4
1952,NYA,0.74,3,3.14,2
1953,NYA,0.772,2,3.2,1
1954,NY1,0.754,4,3.09,3
1955,BRO,0.803,1,3.68,4
1956,NYA,0.78,2,3.63,4
1957,ML1,0.768,2,3.47,5
1958,NYA,0.751,3,3.22,2
1959,LAN,0.728,6,3.79,7
1960,PIT,0.743,2,3.49,3
1961,NYA,0.77,1,3.46,2
1962,NYA,0.762,2,3.7,6
1963,LAN,0.665,15,2.85,1
1964,SLN,0.715,4,3.43,10
1965,LAN,0.643,17,2.81,1
1966,BAL,0.731,3,3.32,7
1967,SLN,0.696,4,3.05,3
1968,DET,0.687,2,2.71,5
1969,NYN,0.66,18,2.99,3
1970,BAL,0.743,5,3.15,1
1971,PIT,0.746,1,3.31,10
1972,OAK,0.668,12,2.58,2
1973,OAK,0.721,6,3.29,5
1974,OAK,0.692,12,2.95,1
1975,CIN,0.753,2,3.37,6
1976,CIN,0.781,1,3.51,12
1977,NYA,0.788,3,3.61,5
1978,NYA,0.716,8,3.18,2
1979,PIT,0.745,7,3.41,4
1980,PHI,0.726,10,3.43,3
1981,LAN,0.696,12,3.01,3
1982,SLN,0.697,17,3.37,3
1983,BAL,0.761,2,3.63,8
1984,DET,0.773,2,3.49,6
1985,KCA,0.712,12,3.49,6
1986,NYN,0.739,9,3.11,1
1987,MIN,0.756,10,4.63,21
1988,LAN,0.656,23,2.96,2
1989,OAK,0.712,6,3.09,2
1990,CIN,0.722,8,3.39,3
1991,MIN,0.762,2,3.69,8
1992,TOR,0.745,1,3.91,20
1993,TOR,0.784,3,4.21,15
1995,ATL,0.732,18,3.44,1
1996,NYA,0.796,8,4.65,17
1997,FLO,0.737,19,3.83,4
1998,NYA,0.822,1,3.82,6
1999,NYA,0.816,4,4.13,6
2000,NYA,0.807,10,4.76,16
2001,ARI,0.785,9,3.87,4
2002,ANA,0.777,6,3.69,4
2003,FLO,0.756,16,4.04,10
2004,BOS,0.835,1,4.18,11
2005,CHA,0.75,16,3.61,3
2006,SLN,0.771,14,4.54,16
2007,BOS,0.809,3,3.87,2
2008,PHI,0.772,7,3.88,6
2009,NYA,0.842,1,4.26,11
2010,SFN,0.732,17,3.36,1
2011,SLN,0.768,5,3.74,12
2012,SFN,0.727,14,3.68,7
2013,BOS,0.798,1,3.79,14
2014,SFN,0.701,14,3.5,10
2015,KCA,0.736,10,3.73,10
